Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,4.490000,4.510000,4.440000,4.480000,4.364575,25821300
2019-06-04,4.490000,4.520000,4.460000,4.500000,4.384060,20778900
2019-06-05,4.520000,4.550000,4.460000,4.460000,4.345091,22313600
2019-06-06,4.520000,4.590000,4.510000,4.540000,4.423029,16129400
2019-06-07,4.540000,4.610000,4.540000,4.540000,4.423029,13608700
2019-06-10,4.550000,4.620000,4.540000,4.560000,4.442514,15307100
2019-06-11,4.580000,4.650000,4.550000,4.610000,4.491226,26309200
2019-06-12,4.580000,4.640000,4.520000,4.540000,4.423029,17706500
2019-06-13,4.620000,4.670000,4.600000,4.640000,4.520453,17094000
2019-06-14,4.610000,4.650000,4.510000,4.510000,4.393803,24640100
2019-06-17,4.530000,4.610000,4.530000,4.550000,4.432772,25615200
2019-06-18,4.600000,4.700000,4.600000,4.690000,4.569165,16551600
2019-06-19,4.670000,4.760000,4.650000,4.750000,4.627619,29055700
2019-06-20,4.790000,4.870000,4.780000,4.820000,4.695816,13904900
2019-06-21,4.810000,4.860000,4.800000,4.810000,4.686073,31790500
2019-06-24,4.800000,4.840000,4.780000,4.820000,4.695816,15969100
2019-06-25,4.770000,4.820000,4.700000,4.750000,4.627619,23980100
2019-06-26,4.740000,4.770000,4.660000,4.700000,4.578907,27089100
2019-06-27,4.660000,4.710000,4.600000,4.710000,4.588650,26697900
2019-06-28,4.730000,4.750000,4.650000,4.670000,4.549680,20768600
2019-07-01,4.740000,4.740000,4.600000,4.630000,4.510711,28598900
2019-07-02,4.650000,4.760000,4.590000,4.700000,4.578907,29151600
2019-07-03,4.740000,4.870000,4.740000,4.820000,4.695816,25311200
2019-07-05,4.910000,4.980000,4.860000,4.970000,4.841951,32598500
2019-07-08,5.000000,5.010000,4.890000,4.940000,4.812724,30062200
2019-07-09,4.910000,4.990000,4.900000,4.960000,4.832209,14064600
2019-07-10,5.070000,5.070000,4.980000,5.050000,4.919890,36500500
2019-07-11,5.080000,5.090000,4.920000,4.950000,4.822466,27402100
2019-07-12,4.900000,4.930000,4.830000,4.840000,4.715301,50633800
2019-07-15,4.860000,4.900000,4.800000,4.830000,4.705558,29021400
2019-07-16,4.850000,4.860000,4.760000,4.780000,4.656847,18581100
2019-07-17,4.770000,4.830000,4.740000,4.740000,4.617877,14710700
2019-07-18,4.760000,4.890000,4.750000,4.850000,4.725042,16323800
2019-07-19,4.920000,4.930000,4.800000,4.800000,4.676331,22680600
2019-07-22,4.850000,4.860000,4.760000,4.770000,4.647104,20402300
2019-07-23,4.810000,4.840000,4.770000,4.790000,4.666588,16716400
2019-07-24,4.790000,4.820000,4.720000,4.730000,4.608134,18433100
2019-07-25,5.090000,5.200000,5.040000,5.160000,5.027056,53426200
2019-07-26,5.200000,5.270000,5.140000,5.240000,5.104994,21620700
2019-07-29,5.230000,5.430000,5.200000,5.400000,5.260872,35419600
2019-07-30,5.420000,5.450000,5.310000,5.320000,5.182933,28687700
2019-07-31,5.320000,5.360000,5.170000,5.270000,5.134222,32962700
2019-08-01,5.280000,5.400000,5.250000,5.290000,5.153706,34618000
2019-08-02,5.280000,5.310000,5.210000,5.240000,5.104994,19844600
2019-08-05,5.150000,5.170000,5.050000,5.090000,4.958859,23862800
2019-08-06,5.120000,5.170000,5.030000,5.150000,5.017313,24527800
2019-08-07,5.050000,5.220000,5.030000,5.210000,5.075768,27392500
2019-08-08,5.120000,5.170000,5.080000,5.100000,4.968601,48231600
2019-08-09,5.110000,5.120000,5.050000,5.050000,4.919890,27518200
2019-08-12,4.870000,4.900000,4.820000,4.880000,4.754270,25714700
2019-08-13,4.830000,4.940000,4.810000,4.870000,4.744527,25557000
2019-08-14,4.770000,4.800000,4.660000,4.680000,4.559422,25831300
2019-08-15,4.730000,4.740000,4.590000,4.640000,4.520453,34098200
2019-08-16,4.680000,4.740000,4.660000,4.700000,4.578907,21250600
2019-08-19,4.750000,4.760000,4.590000,4.670000,4.549680,20560800
2019-08-20,4.650000,4.730000,4.640000,4.660000,4.539937,17027500
2019-08-21,4.700000,4.710000,4.640000,4.650000,4.530196,22464200
2019-08-22,4.630000,4.670000,4.490000,4.590000,4.471742,34970000
2019-08-23,4.560000,4.580000,4.380000,4.420000,4.306121,40148200
2019-08-26,4.430000,4.460000,4.320000,4.370000,4.257410,18155800
2019-08-27,4.380000,4.450000,4.310000,4.370000,4.257410,31087300
2019-08-28,4.350000,4.400000,4.310000,4.390000,4.276894,22231900
2019-08-29,4.390000,4.480000,4.380000,4.480000,4.364575,23878300
2019-08-30,4.490000,4.570000,4.490000,4.540000,4.423029,28067600
2019-09-03,4.430000,4.540000,4.410000,4.440000,4.325606,29304400
2019-09-04,4.500000,4.600000,4.500000,4.580000,4.461999,19266300
2019-09-05,4.630000,4.670000,4.560000,4.580000,4.461999,18406200
2019-09-06,4.630000,4.660000,4.560000,4.610000,4.491226,17169800
2019-09-09,4.580000,4.640000,4.580000,4.600000,4.481483,12381100
2019-09-10,4.590000,4.670000,4.540000,4.600000,4.481483,19609000
2019-09-11,4.660000,4.760000,4.610000,4.650000,4.530196,21383900
2019-09-12,4.740000,4.800000,4.700000,4.790000,4.666588,32800400
2019-09-13,4.770000,4.810000,4.650000,4.660000,4.539937,23954300
2019-09-16,4.640000,4.720000,4.630000,4.690000,4.569165,10865300
2019-09-17,4.650000,4.790000,4.650000,4.770000,4.647104,13526400
2019-09-18,4.740000,4.770000,4.660000,4.680000,4.559422,53699300
2019-09-19,4.710000,4.760000,4.640000,4.640000,4.520453,32608600
2019-09-20,4.640000,4.670000,4.580000,4.630000,4.510711,24583500
2019-09-23,4.630000,4.700000,4.630000,4.650000,4.530196,21375900
2019-09-24,4.660000,4.670000,4.570000,4.640000,4.520453,29672200
2019-09-25,4.610000,4.730000,4.610000,4.730000,4.608134,23106100
2019-09-26,4.740000,4.760000,4.670000,4.680000,4.559422,20299000
2019-09-27,4.680000,4.720000,4.650000,4.690000,4.569165,12871200
2019-09-30,4.720000,4.720000,4.610000,4.620000,4.500968,14098300
2019-10-01,4.620000,4.690000,4.580000,4.670000,4.549680,26957700
2019-10-02,4.620000,4.640000,4.540000,4.540000,4.423029,20598500
2019-10-03,4.540000,4.590000,4.510000,4.530000,4.413288,17942900
2019-10-04,4.570000,4.780000,4.550000,4.750000,4.627619,30270500
2019-10-07,4.720000,4.740000,4.580000,4.580000,4.461999,13558300
2019-10-08,4.600000,4.610000,4.520000,4.540000,4.423029,22207900
2019-10-09,4.540000,4.600000,4.540000,4.560000,4.442514,14752100
2019-10-10,4.540000,4.540000,4.430000,4.470000,4.354833,21839200
2019-10-11,4.500000,4.600000,4.490000,4.550000,4.432772,18993800
2019-10-14,4.540000,4.560000,4.500000,4.560000,4.442514,9680000
2019-10-15,4.550000,4.590000,4.520000,4.520000,4.403545,10583700
2019-10-16,4.510000,4.550000,4.490000,4.520000,4.403545,16441200
2019-10-17,4.570000,4.580000,4.490000,4.490000,4.374318,10384800
2019-10-18,4.520000,4.570000,4.500000,4.520000,4.403545,5803700
2019-10-21,4.510000,4.590000,4.500000,4.580000,4.461999,12700500
2019-10-22,4.610000,4.690000,4.580000,4.590000,4.471742,18203700
2019-10-23,4.560000,4.640000,4.560000,4.620000,4.500968,11034600
2019-10-24,4.710000,4.810000,4.710000,4.730000,4.608134,30702300
2019-10-25,4.480000,4.510000,4.380000,4.430000,4.315864,48559400
2019-10-28,4.440000,4.450000,4.320000,4.370000,4.257410,26747800
2019-10-29,4.370000,4.430000,4.350000,4.360000,4.247667,16745900
2019-10-30,4.320000,4.370000,4.280000,4.360000,4.247667,17908800
2019-10-31,4.370000,4.390000,4.280000,4.310000,4.198956,25787100
2019-11-01,4.350000,4.370000,4.300000,4.330000,4.218440,17517300
2019-11-04,4.360000,4.400000,4.350000,4.360000,4.247667,7088200
2019-11-05,4.360000,4.430000,4.350000,4.390000,4.276894,15341600
2019-11-06,4.280000,4.320000,4.240000,4.260000,4.150244,11601000
2019-11-07,4.260000,4.290000,4.240000,4.260000,4.150244,15666400
2019-11-08,4.190000,4.220000,4.100000,4.120000,4.013851,21999300
2019-11-11,4.140000,4.240000,4.130000,4.190000,4.082047,12555600
2019-11-12,4.130000,4.160000,4.110000,4.130000,4.023593,11064500
2019-11-13,4.110000,4.160000,4.100000,4.150000,4.043078,14126500
2019-11-14,4.140000,4.200000,4.130000,4.150000,4.043078,22570100
2019-11-15,4.170000,4.210000,4.150000,4.200000,4.091789,4338700
2019-11-18,4.170000,4.180000,4.130000,4.130000,4.023593,8975700
2019-11-19,4.150000,4.200000,4.120000,4.200000,4.091789,12610300
2019-11-20,4.160000,4.260000,4.160000,4.210000,4.101532,10669600
2019-11-21,4.240000,4.290000,4.200000,4.280000,4.169729,14742500
2019-11-22,4.300000,4.360000,4.290000,4.310000,4.198956,26588800
2019-11-25,4.280000,4.340000,4.270000,4.300000,4.189213,15871600
2019-11-26,4.210000,4.240000,4.140000,4.220000,4.111274,26599100
2019-11-27,4.200000,4.230000,4.150000,4.230000,4.121017,15623500
2019-11-29,4.260000,4.290000,4.190000,4.210000,4.101532,9806500
2019-12-02,4.260000,4.280000,4.220000,4.240000,4.130759,9319800
2019-12-03,4.230000,4.260000,4.200000,4.240000,4.130759,16484100
2019-12-04,4.270000,4.400000,4.270000,4.320000,4.208698,16058300
2019-12-05,4.300000,4.330000,4.260000,4.320000,4.208698,13638500
2019-12-06,4.380000,4.450000,4.340000,4.450000,4.335348,11216300
2019-12-09,4.380000,4.460000,4.360000,4.430000,4.315864,12547200
2019-12-10,4.450000,4.460000,4.380000,4.400000,4.286637,15397500
2019-12-11,4.450000,4.470000,4.390000,4.450000,4.335348,11460900
2019-12-12,4.460000,4.570000,4.460000,4.570000,4.452257,14951300
2019-12-13,4.570000,4.630000,4.560000,4.580000,4.461999,9596500
2019-12-16,4.680000,4.720000,4.650000,4.670000,4.549680,14832600
2019-12-17,4.670000,4.690000,4.610000,4.620000,4.500968,23050300
2019-12-18,4.670000,4.690000,4.620000,4.680000,4.559422,23377900
2019-12-19,4.640000,4.690000,4.630000,4.690000,4.569165,18311500
2019-12-20,4.530000,4.610000,4.530000,4.570000,4.570000,8535000
2019-12-23,4.610000,4.630000,4.580000,4.580000,4.580000,5995300
2019-12-24,4.590000,4.590000,4.560000,4.560000,4.560000,2832200
2019-12-26,4.620000,4.710000,4.610000,4.710000,4.710000,6616200
2019-12-27,4.720000,4.750000,4.690000,4.710000,4.710000,10891200
2019-12-30,4.720000,4.740000,4.650000,4.650000,4.650000,8934900
2019-12-31,4.640000,4.670000,4.620000,4.660000,4.660000,4139200
2020-01-02,4.670000,4.730000,4.670000,4.730000,4.730000,10162700
2020-01-03,4.640000,4.700000,4.630000,4.670000,4.670000,8742700
2020-01-06,4.610000,4.690000,4.590000,4.620000,4.620000,12846500
2020-01-07,4.600000,4.700000,4.580000,4.630000,4.630000,13782900
2020-01-08,4.630000,4.690000,4.590000,4.640000,4.640000,18280200
2020-01-09,4.570000,4.580000,4.510000,4.580000,4.580000,29817800
2020-01-10,4.640000,4.660000,4.550000,4.610000,4.610000,24067500
2020-01-13,4.550000,4.660000,4.540000,4.600000,4.600000,24067500
2020-01-14,4.640000,4.650000,4.560000,4.580000,4.580000,35525600
2020-01-15,4.530000,4.560000,4.450000,4.460000,4.460000,18156000
2020-01-16,4.500000,4.510000,4.430000,4.440000,4.440000,16671000
2020-01-17,4.470000,4.490000,4.420000,4.430000,4.430000,30769000
2020-01-21,4.420000,4.480000,4.410000,4.410000,4.410000,26101800
2020-01-22,4.480000,4.530000,4.480000,4.530000,4.530000,14388200
2020-01-23,4.470000,4.520000,4.440000,4.450000,4.450000,23412600
2020-01-24,4.510000,4.530000,4.460000,4.510000,4.510000,7980800
2020-01-27,4.410000,4.440000,4.360000,4.380000,4.380000,23897800
2020-01-28,4.390000,4.490000,4.370000,4.480000,4.480000,12770900
2020-01-29,4.430000,4.440000,4.270000,4.270000,4.270000,12211300
2020-01-30,4.240000,4.270000,4.170000,4.270000,4.270000,22839200
2020-01-31,4.200000,4.230000,4.130000,4.160000,4.160000,11719900
2020-02-03,4.200000,4.270000,4.120000,4.130000,4.130000,32328200
2020-02-04,4.180000,4.200000,4.080000,4.090000,4.090000,28185000
2020-02-05,4.170000,4.200000,4.020000,4.070000,4.070000,40597100
2020-02-06,4.070000,4.070000,3.890000,3.890000,3.890000,27358200
2020-02-07,3.920000,3.950000,3.860000,3.900000,3.900000,76469800
2020-02-10,3.890000,3.900000,3.800000,3.810000,3.810000,30190500
2020-02-11,3.880000,3.890000,3.800000,3.810000,3.810000,21732300
2020-02-12,3.790000,3.850000,3.760000,3.770000,3.770000,52346900
2020-02-13,3.780000,3.810000,3.710000,3.710000,3.710000,15930500
2020-02-14,3.740000,3.820000,3.700000,3.790000,3.790000,22475100
2020-02-18,3.750000,3.750000,3.630000,3.630000,3.630000,24066000
2020-02-19,3.660000,3.670000,3.630000,3.670000,3.670000,14004200
2020-02-20,3.680000,3.710000,3.650000,3.690000,3.690000,32074200
2020-02-21,3.600000,3.680000,3.590000,3.670000,3.670000,37231200
2020-02-24,3.590000,3.630000,3.570000,3.580000,3.580000,40853900
2020-02-25,3.600000,3.640000,3.570000,3.610000,3.610000,32193100
2020-02-26,3.580000,3.670000,3.540000,3.570000,3.570000,66486300
2020-02-27,3.170000,3.340000,3.170000,3.250000,3.250000,110937400
2020-02-28,3.110000,3.230000,3.100000,3.210000,3.210000,42324700
2020-03-02,3.270000,3.330000,3.250000,3.310000,3.310000,41766600
2020-03-03,3.280000,3.380000,3.260000,3.280000,3.280000,44030700
2020-03-04,3.280000,3.400000,3.280000,3.400000,3.400000,54380800
2020-03-05,3.240000,3.340000,3.240000,3.310000,3.310000,66466000
2020-03-06,3.250000,3.360000,3.240000,3.330000,3.330000,84144100
2020-03-09,3.050000,3.250000,3.050000,3.080000,3.080000,79975700
2020-03-10,3.090000,3.150000,2.950000,3.120000,3.120000,60029400
2020-03-11,3.050000,3.070000,2.750000,2.850000,2.850000,37799800
2020-03-12,2.040000,2.730000,2.040000,2.610000,2.610000,44605500
2020-03-13,2.830000,2.910000,2.540000,2.640000,2.640000,40229000
2020-03-16,2.270000,2.400000,2.110000,2.110000,2.110000,26411000
2020-03-17,2.310000,2.400000,2.170000,2.300000,2.300000,76122100
2020-03-18,2.110000,2.180000,2.040000,2.120000,2.120000,45951600
2020-03-19,2.120000,2.400000,2.000000,2.340000,2.340000,21856600
2020-03-20,2.410000,2.510000,2.350000,2.400000,2.400000,45750300
2020-03-23,2.340000,2.410000,2.200000,2.250000,2.250000,38765900
2020-03-24,2.390000,2.500000,2.240000,2.250000,2.250000,29126700
2020-03-25,2.260000,2.430000,2.190000,2.370000,2.370000,27219800
2020-03-26,2.400000,2.690000,2.400000,2.640000,2.640000,56548700
2020-03-27,2.400000,2.630000,2.380000,2.510000,2.510000,21862700
2020-03-30,2.500000,2.540000,2.450000,2.480000,2.480000,19568000
2020-03-31,2.350000,2.400000,2.300000,2.300000,2.300000,28246900
2020-04-01,2.250000,2.300000,2.220000,2.250000,2.250000,29219600
2020-04-02,2.210000,2.360000,2.210000,2.310000,2.310000,23894600
2020-04-03,2.220000,2.240000,2.130000,2.180000,2.180000,28022500
2020-04-06,2.280000,2.420000,2.220000,2.230000,2.230000,27551200
2020-04-07,2.500000,2.500000,2.360000,2.370000,2.370000,22311000
2020-04-08,2.430000,2.440000,2.340000,2.410000,2.410000,19454700
2020-04-09,2.460000,2.480000,2.400000,2.400000,2.400000,23992800
2020-04-13,2.340000,2.370000,2.320000,2.360000,2.360000,30193500
2020-04-14,2.400000,2.440000,2.350000,2.360000,2.360000,19319700
2020-04-15,2.310000,2.330000,2.240000,2.290000,2.290000,24166000
2020-04-16,2.310000,2.310000,2.190000,2.200000,2.200000,21200000
2020-04-17,2.270000,2.270000,2.200000,2.220000,2.220000,13471800
2020-04-20,2.200000,2.250000,2.160000,2.240000,2.240000,20430600
2020-04-21,2.180000,2.270000,2.180000,2.230000,2.230000,21572800
2020-04-22,2.190000,2.210000,2.160000,2.170000,2.170000,16706400
2020-04-23,2.170000,2.200000,2.110000,2.120000,2.120000,27604400
2020-04-24,2.060000,2.070000,1.900000,2.000000,2.000000,60961500
2020-04-27,2.060000,2.120000,2.040000,2.080000,2.080000,28343200
2020-04-28,2.160000,2.190000,2.110000,2.130000,2.130000,56467000
2020-04-29,2.180000,2.230000,2.150000,2.190000,2.190000,49640600
2020-04-30,2.140000,2.160000,2.090000,2.150000,2.150000,24730400
2020-05-01,2.170000,2.170000,2.090000,2.090000,2.090000,18804300
2020-05-04,2.030000,2.160000,2.020000,2.150000,2.150000,25316900
2020-05-05,2.180000,2.210000,2.140000,2.150000,2.150000,23055300
2020-05-06,2.150000,2.150000,2.060000,2.100000,2.100000,31829700
2020-05-07,2.100000,2.130000,1.980000,2.000000,2.000000,51914200
2020-05-08,2.090000,2.150000,2.080000,2.150000,2.150000,18686900
